sample_id,model,axis,level,score_standard,score_anchor_A,score_anchor_B,delta_A_minus_std,delta_B_minus_std
80,gemini-3-flash,coherence,0.2,8.0,8.0,8.0,0.0,0.0
80,gpt-5-mini,coherence,0.2,9.0,9.0,9.0,0.0,0.0
88,gemini-3-flash,coherence,0.8,7.0,7.0,7.0,0.0,0.0
88,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
93,gemini-3-flash,information,0.2,8.0,7.0,7.0,-1.0,-1.0
93,gpt-5-mini,information,0.2,8.0,8.0,8.0,0.0,0.0
95,gemini-3-flash,information,0.2,7.0,7.0,7.0,0.0,0.0
95,gpt-5-mini,information,0.2,8.0,8.0,8.0,0.0,0.0
169,gemini-3-flash,lexical,0.2,7.0,7.0,7.0,0.0,0.0
169,gpt-5-mini,lexical,0.2,8.0,7.0,7.0,-1.0,-1.0
212,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
248,gemini-3-flash,grammar,0.4,6.0,4.0,4.0,-2.0,-2.0
248,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
267,gemini-3-flash,coherence,0.8,4.0,4.0,4.0,0.0,0.0
267,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
315,gemini-3-flash,coherence,0.0,9.0,9.0,9.0,0.0,0.0
315,gpt-5-mini,coherence,0.0,9.0,9.0,9.0,0.0,0.0
318,gemini-3-flash,coherence,0.2,4.0,4.0,4.0,0.0,0.0
318,gpt-5-mini,coherence,0.2,9.0,8.0,8.0,-1.0,-1.0
360,gemini-3-flash,grammar,0.0,8.0,9.0,8.0,1.0,0.0
360,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
447,gemini-3-flash,coherence,0.8,4.0,4.0,4.0,0.0,0.0
447,gpt-5-mini,coherence,0.8,9.0,8.0,8.0,-1.0,-1.0
518,gemini-3-flash,information,0.4,5.0,5.0,5.0,0.0,0.0
518,gpt-5-mini,information,0.4,7.0,6.0,6.0,-1.0,-1.0
563,gemini-3-flash,coherence,0.4,4.0,5.0,4.0,1.0,0.0
563,gpt-5-mini,coherence,0.4,9.0,9.0,9.0,0.0,0.0
